Date,Time,Result
2025-12-23,22:13:19.899306,NOT OK
2025-12-23,22:13:19.981168,NOT OK
2025-12-23,22:13:20.021150,NOT OK
2025-12-23,22:13:20.081829,NOT OK
2025-12-23,22:13:20.120110,NOT OK
2025-12-23,22:13:20.184867,NOT OK
2025-12-23,22:13:20.226020,NOT OK
2025-12-23,22:13:20.304277,NOT OK
2025-12-23,22:13:20.341991,NOT OK
2025-12-23,22:13:20.414551,NOT OK
2025-12-23,22:13:20.479246,NOT OK
2025-12-23,22:13:20.542154,NOT OK
2025-12-23,22:13:20.583227,NOT OK
2025-12-23,22:13:20.632395,NOT OK
2025-12-23,22:13:20.667373,NOT OK
2025-12-23,22:13:20.764268,NOT OK
2025-12-23,22:13:20.815551,NOT OK
2025-12-23,22:13:20.898505,NOT OK
2025-12-23,22:13:20.939534,NOT OK
2025-12-23,22:13:21.100790,NOT OK
2025-12-23,22:13:21.141353,NOT OK
2025-12-23,22:13:21.228509,NOT OK
2025-12-23,22:13:21.331514,NOT OK
2025-12-23,22:13:21.421826,NOT OK
2025-12-23,22:13:21.500893,NOT OK
2025-12-23,22:13:21.566315,NOT OK
2025-12-23,22:13:21.600753,NOT OK
2025-12-23,22:13:21.662651,NOT OK
2025-12-23,22:13:21.696567,NOT OK
2025-12-23,22:13:21.748088,NOT OK
2025-12-23,22:13:21.811298,NOT OK
2025-12-23,22:13:21.859734,NOT OK
2025-12-23,22:13:21.932020,NOT OK
2025-12-23,22:13:21.975173,NOT OK
2025-12-23,22:13:22.103234,NOT OK
2025-12-23,22:13:22.141885,NOT OK
2025-12-23,22:13:22.239453,NOT OK
2025-12-23,22:13:22.333097,NOT OK
2025-12-23,22:13:22.426993,NOT OK
2025-12-23,22:13:22.520836,NOT OK
2025-12-23,22:13:22.564756,NOT OK
2025-12-23,22:13:22.712962,NOT OK
2025-12-23,22:13:22.805543,NOT OK
2025-12-23,22:13:22.898859,NOT OK
2025-12-23,22:13:22.999585,NOT OK
2025-12-23,22:13:23.081686,NOT OK
2025-12-23,22:13:23.134969,NOT OK
2025-12-23,22:13:23.168884,NOT OK
2025-12-23,22:13:23.233536,NOT OK
2025-12-23,22:13:23.300864,NOT OK
2025-12-23,22:13:23.344040,NOT OK
2025-12-23,22:13:23.443902,NOT OK
2025-12-23,22:13:23.513337,NOT OK
2025-12-23,22:13:23.617701,NOT OK
2025-12-23,22:13:23.754436,NOT OK
2025-12-23,22:13:23.867526,NOT OK
2025-12-23,22:13:23.951314,NOT OK
2025-12-23,22:13:24.011210,NOT OK
2025-12-23,22:13:24.055420,NOT OK
2025-12-23,22:13:24.130259,NOT OK
2025-12-23,22:13:24.203733,NOT OK
2025-12-23,22:13:24.269806,NOT OK
2025-12-23,22:13:24.356133,NOT OK
2025-12-23,22:13:24.452306,NOT OK
2025-12-23,22:13:24.538972,NOT OK
2025-12-23,22:13:24.606112,NOT OK
2025-12-23,22:13:24.677160,NOT OK
2025-12-23,22:13:24.712372,NOT OK
2025-12-23,22:13:24.839404,NOT OK
2025-12-23,22:13:24.948720,NOT OK
2025-12-23,22:13:25.035610,NOT OK
2025-12-23,22:13:25.136236,NOT OK
2025-12-23,22:13:25.253083,NOT OK
2025-12-23,22:13:25.357788,NOT OK
